,A,Average Aggregation Delay (ms),IoT Device Battery (V),Data per Packet,B,Goodput (B/s),G/T (%),Packet Loss (%),Received Packets,Sent Packets,Gateway Received Packets (pps),Router Received Packet (pps),Sampling Interval (s),C,Throughput (B/s),Topology,AB,AC,BC,ABC
67,1,88.18367326732674,2.653848514851483,50,-1,1878.4,65.03254396897937,-12.49067431850789,404,2788,40.4,278.8,10,1,2888.4,wwwwwwwwwwc,-1,1,-1,-1
68,1,85.42974257425743,2.652983168316829,50,-1,1875.2,64.99376126438375,-12.49067431850789,404,2788,40.4,278.8,10,1,2885.2,wwwwwwwwwwc,-1,1,-1,-1
69,1,89.71615841584159,2.650495049504949,50,-1,1884.8,65.10985214868039,-12.49067431850789,404,2788,40.4,278.8,10,1,2894.8,wwwwwwwwwwc,-1,1,-1,-1
70,1,88.2974702970297,2.625308910891087,50,-1,1897.6,65.2634475168524,-12.49067431850789,404,2788,40.4,278.8,10,1,2907.6,wwwwwwwwwwc,-1,1,-1,-1
71,1,89.48010891089109,2.652158415841583,50,-1,1881.6,65.07124083552358,-12.49067431850789,404,2788,40.4,278.8,10,1,2891.6,wwwwwwwwwwc,-1,1,-1,-1
72,1,91.99105445544555,2.62638316831683,50,-1,1897.6,65.2634475168524,-12.49067431850789,404,2788,40.4,278.8,10,1,2907.6,wwwwwwwwwwc,-1,1,-1,-1
73,1,88.8642797029703,2.653964356435642,50,-1,1900.8,65.30163528926755,-12.49067431850789,404,2788,40.4,278.8,10,1,2910.8,wwwwwwwwwwc,-1,1,-1,-1
74,1,90.21497772277228,2.652307920792078,50,-1,1904.0,65.33973919011667,-12.49067431850789,404,2788,40.4,278.8,10,1,2914.0,wwwwwwwwwwc,-1,1,-1,-1
75,1,89.86610396039605,2.624956435643563,50,-1,1897.6,65.2634475168524,-12.49067431850789,404,2788,40.4,278.8,10,1,2907.6,wwwwwwwwwwc,-1,1,-1,-1
76,1,86.96217821782179,2.652751485148512,50,-1,1874.4,64.98405214255997,-12.49067431850789,404,2788,40.4,278.8,10,1,2884.4,wwwwwwwwwwc,-1,1,-1,-1
77,1,86.20970297029703,2.652629702970295,50,-1,1875.2,64.99376126438375,-12.49067431850789,404,2788,40.4,278.8,10,1,2885.2,wwwwwwwwwwc,-1,1,-1,-1
78,1,87.58441584158416,2.6523990099009893,50,-1,1904.0,65.33973919011667,-12.49067431850789,404,2788,40.4,278.8,10,1,2914.0,wwwwwwwwwwc,-1,1,-1,-1
79,1,93.36878712871287,2.626264356435642,50,-1,1903.2,65.33022106274888,-12.495873699318263,404,2787,40.4,278.7,10,1,2913.2,wwwwwwwwwwc,-1,1,-1,-1
80,-1,69.50064166666667,2.546835675675676,10,1,6720.0,76.19047619047619,0.028490028490028,840,8424,84.0,842.4,10,-1,8820.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
81,-1,55.519038588754135,2.551025882352942,10,1,7256.0,76.19047619047619,0.032967032967032,907,9100,90.7,910.0,10,-1,9523.5,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
82,-1,51.26606168831169,2.549181547619049,10,1,7392.0,76.19047619047619,0.029135642602784003,924,9267,92.4,926.7,10,-1,9702.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
83,-1,44.786890422077924,2.539954948805461,10,1,9856.0,76.19047619047619,0.014589074404279001,1232,12338,123.2,1233.8,10,-1,12936.0,wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwc,-1,1,-1,1
